id,char,codepoint,pinyins_tone3,pinyins_display,script_type,gloss_en
31954,𡄑,U+21111,jian1,jiān,neutral,
31955,𡄒,U+21112,dao4,dào,neutral,
31956,𡄓,U+21113,jian3,jiǎn,neutral,
31957,𡄔,U+21114,qing4,qìng,traditional,
31958,𡄕,U+21115,xie4,xiè,neutral,
31959,𡄖,U+21116,ying4,yìng,traditional,
31960,𡄗,U+21117,𡄗,𡄗,neutral,
31961,𡄘,U+21118,𡄘,𡄘,neutral,
31962,𡄙,U+21119,𡄙,𡄙,neutral,
31963,𡄚,U+2111A,𡄚,𡄚,neutral,
31964,𡄛,U+2111B,𡄛,𡄛,neutral,
31965,𡄜,U+2111C,𡄜,𡄜,neutral,
31966,𡄝,U+2111D,𡄝,𡄝,neutral,
31967,𡄞,U+2111E,𡄞,𡄞,neutral,
31968,𡄟,U+2111F,ha2,há,neutral,"(Cant.) onomatopoetic, the sound of panting"
31969,𡄠,U+21120,𡄠,𡄠,neutral,
31970,𡄡,U+21121,zhe,zhe,neutral,(Cant.) emphatic particle
31971,𡄢,U+21122,she1,shē,neutral,
31972,𡄣,U+21123,mi2,mí,traditional,
31973,𡄤,U+21124,huan2,huán,traditional,
31974,𡄥,U+21125,𡄥,𡄥,neutral,
31975,𡄦,U+21126,𡄦,𡄦,neutral,
31976,𡄧,U+21127,𡄧,𡄧,neutral,
31977,𡄨,U+21128,𡄨,𡄨,neutral,
31978,𡄩,U+21129,𡄩,𡄩,traditional,
31979,𡄪,U+2112A,𡄪,𡄪,neutral,
31980,𡄫,U+2112B,𡄫,𡄫,neutral,
31981,𡄬,U+2112C,𡄬,𡄬,neutral,
31982,𡄭,U+2112D,𡄭,𡄭,neutral,
31983,𡄮,U+2112E,𡄮,𡄮,neutral,
31984,𡄯,U+2112F,𡄯,𡄯,neutral,(Cant.) hiccough
31985,𡄰,U+21130,𡄰,𡄰,neutral,
31986,𡄱,U+21131,cu4,cù,neutral,
31987,𡄲,U+21132,ru2,rú,neutral,
31988,𡄳,U+21133,sa3,sǎ,neutral,
31989,𡄴,U+21134,huo4,huò,neutral,
31990,𡄵,U+21135,yi1,yī,neutral,"(Cant.) to grin, laugh"
31991,𡄶,U+21136,𡄶,𡄶,neutral,
31992,𡄷,U+21137,di1,dī,neutral,
31993,𡄸,U+21138,𡄸,𡄸,neutral,
31994,𡄹,U+21139,luan4,luàn,neutral,
31995,𡄺,U+2113A,𡄺,𡄺,neutral,
31996,𡄻,U+2113B,yi4,yì,neutral,
31997,𡄼,U+2113C,𡄼,𡄼,neutral,
31998,𡄽,U+2113D,𡄽,𡄽,neutral,(Cant.) to slide down
31999,𡄾,U+2113E,𡄾,𡄾,neutral,
32000,𡄿,U+2113F,𡄿,𡄿,neutral,
32001,𡅀,U+21140,𡅀,𡅀,neutral,
32002,𡅁,U+21141,𡅁,𡅁,neutral,
32003,𡅂,U+21142,bo4,bò,neutral,
32004,𡅃,U+21143,pang2,páng,neutral,
32005,𡅄,U+21144,tan2,tán,neutral,
32006,𡅅,U+21145,e2|ei2,é|éi,neutral,
32007,𡅆,U+21146,zang1,zāng,neutral,
32008,𡅇,U+21147,cong2,cóng,neutral,
32009,𡅈,U+21148,𡅈,𡅈,neutral,"(Cant.) a particle implying completion, certainty, or urgency"
32010,𡅉,U+21149,𡅉,𡅉,neutral,
32011,𡅊,U+2114A,𡅊,𡅊,neutral,
32012,𡅋,U+2114B,𡅋,𡅋,neutral,
32013,𡅌,U+2114C,𡅌,𡅌,neutral,
32014,𡅍,U+2114D,𡅍,𡅍,neutral,
32015,𡅎,U+2114E,𡅎,𡅎,neutral,
32016,𡅏,U+2114F,𡅏,𡅏,traditional,"(Cant.) to accuse, slander; to turn, sprain"
32017,𡅐,U+21150,𡅐,𡅐,neutral,
32018,𡅑,U+21151,𡅑,𡅑,neutral,
32019,𡅒,U+21152,𡅒,𡅒,neutral,
32020,𡅓,U+21153,zhai1,zhāi,neutral,
32021,𡅔,U+21154,𡅔,𡅔,neutral,
32022,𡅕,U+21155,xi3,xǐ,neutral,
32023,𡅖,U+21156,mang3,mǎng,neutral,
32024,𡅗,U+21157,𡅗,𡅗,neutral,
32025,𡅘,U+21158,la4,là,traditional,
32026,𡅙,U+21159,yun4,yùn,neutral,
32027,𡅚,U+2115A,𡅚,𡅚,neutral,
32028,𡅛,U+2115B,𡅛,𡅛,neutral,
32029,𡅜,U+2115C,𡅜,𡅜,neutral,
32030,𡅝,U+2115D,𡅝,𡅝,neutral,
32031,𡅞,U+2115E,𡅞,𡅞,neutral,
32032,𡅟,U+2115F,𡅟,𡅟,neutral,
32033,𡅠,U+21160,𡅠,𡅠,neutral,
32034,𡅡,U+21161,e4,è,neutral,
32035,𡅢,U+21162,𡅢,𡅢,neutral,
32036,𡅣,U+21163,𡅣,𡅣,neutral,
32037,𡅤,U+21164,𡅤,𡅤,neutral,
32038,𡅥,U+21165,die2,dié,traditional,
32039,𡅦,U+21166,𡅦,𡅦,neutral,
32040,𡅧,U+21167,𡅧,𡅧,traditional,
32041,𡅨,U+21168,𡅨,𡅨,neutral,
32042,𡅩,U+21169,𡅩,𡅩,neutral,
32043,𡅪,U+2116A,𡅪,𡅪,neutral,
32044,𡅫,U+2116B,𡅫,𡅫,neutral,
32045,𡅬,U+2116C,𡅬,𡅬,neutral,
32046,𡅭,U+2116D,guan1,guān,neutral,
32047,𡅮,U+2116E,𡅮,𡅮,neutral,
32048,𡅯,U+2116F,𡅯,𡅯,neutral,
32049,𡅰,U+21170,𡅰,𡅰,neutral,
32050,𡅱,U+21171,huan4,huàn,neutral,
32051,𡅲,U+21172,𡅲,𡅲,neutral,
32052,𡅳,U+21173,𡅳,𡅳,neutral,
32053,𡅴,U+21174,𡅴,𡅴,neutral,
32054,𡅵,U+21175,shi4,shì,neutral,
32055,𡅶,U+21176,jian3,jiǎn,neutral,
32056,𡅷,U+21177,𡅷,𡅷,neutral,
32057,𡅸,U+21178,𡅸,𡅸,neutral,
32058,𡅹,U+21179,zhan1,zhān,neutral,
32059,𡅺,U+2117A,ji2,jí,neutral,
32060,𡅻,U+2117B,huan4,huàn,neutral,
32061,𡅼,U+2117C,𡅼,𡅼,neutral,
32062,𡅽,U+2117D,𡅽,𡅽,neutral,
32063,𡅾,U+2117E,𡅾,𡅾,neutral,
32064,𡅿,U+2117F,𡅿,𡅿,neutral,
32065,𡆀,U+21180,𡆀,𡆀,neutral,(Cant.) special relationship
32066,𡆁,U+21181,𡆁,𡆁,neutral,
32067,𡆂,U+21182,𡆂,𡆂,neutral,
32068,𡆃,U+21183,𡆃,𡆃,neutral,
32069,𡆄,U+21184,𡆄,𡆄,neutral,
32070,𡆅,U+21185,wan4,wàn,neutral,
32071,𡆆,U+21186,luo3,luǒ,neutral,
32072,𡆇,U+21187,𡆇,𡆇,neutral,(Cant.) a watt (Engl. loan-word)
32073,𡆈,U+21188,𡆈,𡆈,neutral,
32074,𡆉,U+21189,𡆉,𡆉,neutral,
32075,𡆊,U+2118A,𡆊,𡆊,neutral,
32076,𡆋,U+2118B,𡆋,𡆋,neutral,
32077,𡆌,U+2118C,𡆌,𡆌,neutral,
32078,𡆍,U+2118D,𡆍,𡆍,neutral,
32079,𡆎,U+2118E,𡆎,𡆎,neutral,
32080,𡆏,U+2118F,dou4,dòu,neutral,
32081,𡆐,U+21190,𡆐,𡆐,neutral,
32082,𡆑,U+21191,𡆑,𡆑,neutral,
32083,𡆒,U+21192,𡆒,𡆒,neutral,
32084,𡆓,U+21193,𡆓,𡆓,neutral,
32085,𡆔,U+21194,𡆔,𡆔,neutral,
32086,𡆕,U+21195,lian4,liàn,neutral,
32087,𡆖,U+21196,𡆖,𡆖,neutral,
32088,𡆗,U+21197,𡆗,𡆗,neutral,
32089,𡆘,U+21198,𡆘,𡆘,neutral,
32090,𡆙,U+21199,𡆙,𡆙,neutral,
32091,𡆚,U+2119A,𡆚,𡆚,neutral,
32092,𡆛,U+2119B,𡆛,𡆛,neutral,
32093,𡆜,U+2119C,𡆜,𡆜,neutral,
32094,𡆝,U+2119D,𡆝,𡆝,neutral,
32095,𡆞,U+2119E,𡆞,𡆞,neutral,
32096,𡆟,U+2119F,𡆟,𡆟,neutral,
32097,𡆠,U+211A0,𡆠,𡆠,neutral,
32098,𡆡,U+211A1,𡆡,𡆡,neutral,
32099,𡆢,U+211A2,𡆢,𡆢,neutral,
32100,𡆣,U+211A3,nie4|di2,niè|dí,neutral,
32101,𡆤,U+211A4,nan3,nǎn,neutral,
32102,𡆥,U+211A5,jiu4,jiù,neutral,
32103,𡆦,U+211A6,yue4,yuè,neutral,
32104,𡆧,U+211A7,𡆧,𡆧,neutral,
32105,𡆨,U+211A8,𡆨,𡆨,neutral,
32106,𡆩,U+211A9,yao1|jiong3,yāo|jiǒng,neutral,
32107,𡆪,U+211AA,chuang1,chuāng,neutral,
32108,𡆫,U+211AB,𡆫,𡆫,neutral,
32109,𡆬,U+211AC,𡆬,𡆬,neutral,
32110,𡆭,U+211AD,𡆭,𡆭,neutral,
32111,𡆮,U+211AE,can3,cǎn,neutral,
32112,𡆯,U+211AF,li3,lǐ,neutral,
32113,𡆰,U+211B0,dun4,dùn,neutral,
32114,𡆱,U+211B1,nan3,nǎn,neutral,
32115,𡆲,U+211B2,nan3,nǎn,neutral,
32116,𡆳,U+211B3,𡆳,𡆳,neutral,
32117,𡆴,U+211B4,𡆴,𡆴,neutral,
32118,𡆵,U+211B5,𡆵,𡆵,neutral,
32119,𡆶,U+211B6,𡆶,𡆶,neutral,
32120,𡆷,U+211B7,𡆷,𡆷,neutral,
32121,𡆸,U+211B8,ri4|guo2,rì|guó,neutral,
32122,𡆹,U+211B9,𡆹,𡆹,neutral,
32123,𡆺,U+211BA,𡆺,𡆺,neutral,
32124,𡆻,U+211BB,𡆻,𡆻,neutral,
32125,𡆼,U+211BC,𡆼,𡆼,neutral,
32126,𡆽,U+211BD,yue4,yuè,neutral,
32127,𡆾,U+211BE,𡆾,𡆾,neutral,
32128,𡆿,U+211BF,𡆿,𡆿,neutral,
32129,𡇀,U+211C0,you2,yóu,neutral,
32130,𡇁,U+211C1,𡇁,𡇁,neutral,
32131,𡇂,U+211C2,yin1,yīn,neutral,
32132,𡇃,U+211C3,𡇃,𡇃,neutral,
32133,𡇄,U+211C4,guo2|nie4,guó|niè,neutral,
32134,𡇅,U+211C5,𡇅,𡇅,neutral,
32135,𡇆,U+211C6,𡇆,𡇆,neutral,
32136,𡇇,U+211C7,𡇇,𡇇,neutral,
32137,𡇈,U+211C8,dang4|tuo2,dàng|tuó,neutral,
32138,𡇉,U+211C9,𡇉,𡇉,neutral,
32139,𡇊,U+211CA,𡇊,𡇊,neutral,
32140,𡇋,U+211CB,𡇋,𡇋,neutral,
32141,𡇌,U+211CC,𡇌,𡇌,neutral,
32142,𡇍,U+211CD,𡇍,𡇍,neutral,
32143,𡇎,U+211CE,𡇎,𡇎,neutral,
32144,𡇏,U+211CF,𡇏,𡇏,neutral,
32145,𡇐,U+211D0,𡇐,𡇐,neutral,
32146,𡇑,U+211D1,zhen1,zhēn,neutral,
32147,𡇒,U+211D2,mi2,mí,neutral,
32148,𡇓,U+211D3,die2,dié,neutral,
32149,𡇔,U+211D4,𡇔,𡇔,neutral,
32150,𡇕,U+211D5,𡇕,𡇕,neutral,
32151,𡇖,U+211D6,zhen1,zhēn,neutral,
32152,𡇗,U+211D7,𡇗,𡇗,neutral,
32153,𡇘,U+211D8,𡇘,𡇘,neutral,
32154,𡇙,U+211D9,𡇙,𡇙,neutral,(Cant.) round and full
32155,𡇚,U+211DA,kua1,kuā,neutral,
32156,𡇛,U+211DB,𡇛,𡇛,neutral,
32157,𡇜,U+211DC,han2,hán,neutral,
32158,𡇝,U+211DD,song4,sòng,neutral,
32159,𡇞,U+211DE,he2,hé,neutral,
32160,𡇟,U+211DF,ji1,jī,neutral,
32161,𡇠,U+211E0,zhe2,zhé,neutral,
32162,𡇡,U+211E1,𡇡,𡇡,neutral,
32163,𡇢,U+211E2,𡇢,𡇢,neutral,
32164,𡇣,U+211E3,𡇣,𡇣,neutral,
32165,𡇤,U+211E4,bing3,bǐng,neutral,
32166,𡇥,U+211E5,𡇥,𡇥,neutral,
32167,𡇦,U+211E6,wei2,wéi,neutral,
32168,𡇧,U+211E7,tou1,tōu,neutral,
32169,𡇨,U+211E8,𡇨,𡇨,neutral,
32170,𡇩,U+211E9,tu2,tú,neutral,
32171,𡇪,U+211EA,𡇪,𡇪,neutral,
32172,𡇫,U+211EB,𡇫,𡇫,neutral,
32173,𡇬,U+211EC,gang1,gāng,neutral,
32174,𡇭,U+211ED,lou2,lóu,neutral,
32175,𡇮,U+211EE,quan2,quán,neutral,
32176,𡇯,U+211EF,hun4,hùn,neutral,
32177,𡇰,U+211F0,zhuan3,zhuǎn,neutral,
32178,𡇱,U+211F1,que4,què,neutral,
32179,𡇲,U+211F2,𡇲,𡇲,neutral,
32180,𡇳,U+211F3,hong2,hóng,neutral,
32181,𡇴,U+211F4,𡇴,𡇴,neutral,
32182,𡇵,U+211F5,dang4,dàng,neutral,
32183,𡇶,U+211F6,he2,hé,neutral,
32184,𡇷,U+211F7,tai4,tài,neutral,
32185,𡇸,U+211F8,guai1,guāi,neutral,
32186,𡇹,U+211F9,𡇹,𡇹,neutral,
32187,𡇺,U+211FA,yu4,yù,neutral,
32188,𡇻,U+211FB,𡇻,𡇻,neutral,
32189,𡇼,U+211FC,ya4,yà,neutral,
32190,𡇽,U+211FD,𡇽,𡇽,neutral,
32191,𡇾,U+211FE,𡇾,𡇾,neutral,
32192,𡇿,U+211FF,wan1,wān,neutral,
32193,𡈀,U+21200,qun1,qūn,neutral,
32194,𡈁,U+21201,𡈁,𡈁,neutral,
32195,𡈂,U+21202,𡈂,𡈂,neutral,
32196,𡈃,U+21203,𡈃,𡈃,neutral,
32197,𡈄,U+21204,𡈄,𡈄,neutral,
32198,𡈅,U+21205,jue2,jué,neutral,
32199,𡈆,U+21206,ou1,ōu,neutral,
32200,𡈇,U+21207,𡈇,𡈇,neutral,
32201,𡈈,U+21208,𡈈,𡈈,neutral,
32202,𡈉,U+21209,quan1,quān,neutral,
32203,𡈊,U+2120A,zhi2,zhí,neutral,
32204,𡈋,U+2120B,𡈋,𡈋,neutral,
32205,𡈌,U+2120C,𡈌,𡈌,neutral,
32206,𡈍,U+2120D,ling2,líng,neutral,
32207,𡈎,U+2120E,wu1|ri4,wū|rì,neutral,a decoy; to inveigle
32208,𡈏,U+2120F,xin4,xìn,neutral,
32209,𡈐,U+21210,da2,dá,neutral,
32210,𡈑,U+21211,𡈑,𡈑,neutral,
32211,𡈒,U+21212,yuan1,yuān,neutral,
32212,𡈓,U+21213,yuan4,yuàn,neutral,
32213,𡈔,U+21214,𡈔,𡈔,neutral,
32214,𡈕,U+21215,𡈕,𡈕,neutral,
32215,𡈖,U+21216,𡈖,𡈖,neutral,
32216,𡈗,U+21217,mo4,mò,neutral,
32217,𡈘,U+21218,𡈘,𡈘,neutral,
32218,𡈙,U+21219,you2,yóu,neutral,decoy
32219,𡈚,U+2121A,𡈚,𡈚,neutral,
32220,𡈛,U+2121B,𡈛,𡈛,simplified,circle of the moving water
32221,𡈜,U+2121C,𡈜,𡈜,neutral,
32222,𡈝,U+2121D,𡈝,𡈝,neutral,
32223,𡈞,U+2121E,wu3,wǔ,neutral,
32224,𡈟,U+2121F,𡈟,𡈟,neutral,
32225,𡈠,U+21220,zhang1,zhāng,neutral,
32226,𡈡,U+21221,𡈡,𡈡,neutral,
32227,𡈢,U+21222,𡈢,𡈢,neutral,
32228,𡈣,U+21223,xuan1,xuān,neutral,
32229,𡈤,U+21224,𡈤,𡈤,neutral,
32230,𡈥,U+21225,𡈥,𡈥,neutral,
32231,𡈦,U+21226,rao3,rǎo,neutral,
32232,𡈧,U+21227,gun3,gǔn,neutral,
32233,𡈨,U+21228,yu4,yù,neutral,
32234,𡈩,U+21229,𡈩,𡈩,neutral,
32235,𡈪,U+2122A,𡈪,𡈪,neutral,
32236,𡈫,U+2122B,𡈫,𡈫,neutral,
32237,𡈬,U+2122C,𡈬,𡈬,neutral,
32238,𡈭,U+2122D,𡈭,𡈭,neutral,
32239,𡈮,U+2122E,xia2,xiá,neutral,
32240,𡈯,U+2122F,bian3,biǎn,neutral,
32241,𡈰,U+21230,you2,yóu,neutral,
32242,𡈱,U+21231,𡈱,𡈱,neutral,
32243,𡈲,U+21232,yin1,yīn,neutral,
32244,𡈳,U+21233,𡈳,𡈳,neutral,
32245,𡈴,U+21234,xuan2|ru3,xuán|rǔ,neutral,
32246,𡈵,U+21235,you2,yóu,neutral,
32247,𡈶,U+21236,lei2,léi,neutral,
32248,𡈷,U+21237,𡈷,𡈷,neutral,
32249,𡈸,U+21238,𡈸,𡈸,neutral,
32250,𡈹,U+21239,𡈹,𡈹,neutral,
32251,𡈺,U+2123A,𡈺,𡈺,neutral,
32252,𡈻,U+2123B,𡈻,𡈻,neutral,
32253,𡈼,U+2123C,ting3|ting2|zheng1|zhi3,tǐng|tíng|zhēng|zhǐ,neutral,
32254,𡈽,U+2123D,𡈽,𡈽,neutral,(variant of 土)
32255,𡈾,U+2123E,𡈾,𡈾,neutral,
32256,𡈿,U+2123F,zhen1,zhēn,neutral,
32257,𡉀,U+21240,𡉀,𡉀,neutral,
32258,𡉁,U+21241,𡉁,𡉁,neutral,
32259,𡉂,U+21242,𡉂,𡉂,neutral,
32260,𡉃,U+21243,𡉃,𡉃,neutral,
32261,𡉄,U+21244,zai4|ku1,zài|kū,neutral,rascal
32262,𡉅,U+21245,ga1,gā,neutral,
32263,𡉆,U+21246,la2,lá,neutral,
32264,𡉇,U+21247,𡉇,𡉇,neutral,
32265,𡉈,U+21248,𡉈,𡉈,neutral,
32266,𡉉,U+21249,que4,què,neutral,
32267,𡉊,U+2124A,𡉊,𡉊,neutral,
32268,𡉋,U+2124B,𡉋,𡉋,neutral,
32269,𡉌,U+2124C,𡉌,𡉌,neutral,
32270,𡉍,U+2124D,𡉍,𡉍,neutral,
32271,𡉎,U+2124E,ju2,jú,neutral,
32272,𡉏,U+2124F,𡉏,𡉏,neutral,
32273,𡉐,U+21250,chun1,chūn,neutral,
32274,𡉑,U+21251,da1,dā,neutral,
32275,𡉒,U+21252,tun2,tún,neutral,
32276,𡉓,U+21253,ai1,āi,neutral,
32277,𡉔,U+21254,𡉔,𡉔,neutral,
32278,𡉕,U+21255,𡉕,𡉕,neutral,
32279,𡉖,U+21256,𡉖,𡉖,neutral,
32280,𡉗,U+21257,zi3,zǐ,neutral,
32281,𡉘,U+21258,𡉘,𡉘,neutral,
32282,𡉙,U+21259,𡉙,𡉙,neutral,
32283,𡉚,U+2125A,huang2|feng1,huáng|fēng,neutral,
32284,𡉛,U+2125B,yi4,yì,neutral,
32285,𡉜,U+2125C,𡉜,𡉜,neutral,
32286,𡉝,U+2125D,𡉝,𡉝,neutral,
32287,𡉞,U+2125E,𡉞,𡉞,neutral,
32288,𡉟,U+2125F,𡉟,𡉟,neutral,
32289,𡉠,U+21260,𡉠,𡉠,neutral,
32290,𡉡,U+21261,𡉡,𡉡,neutral,
32291,𡉢,U+21262,𡉢,𡉢,neutral,
32292,𡉣,U+21263,𡉣,𡉣,neutral,
32293,𡉤,U+21264,𡉤,𡉤,neutral,
32294,𡉥,U+21265,𡉥,𡉥,neutral,
32295,𡉦,U+21266,𡉦,𡉦,neutral,
32296,𡉧,U+21267,𡉧,𡉧,neutral,
32297,𡉨,U+21268,𡉨,𡉨,neutral,
32298,𡉩,U+21269,bao4,bào,neutral,
32299,𡉪,U+2126A,chi2,chí,neutral,
32300,𡉫,U+2126B,𡉫,𡉫,neutral,
32301,𡉬,U+2126C,𡉬,𡉬,neutral,
32302,𡉭,U+2126D,ri4,rì,neutral,
32303,𡉮,U+2126E,𡉮,𡉮,neutral,
32304,𡉯,U+2126F,𡉯,𡉯,neutral,
32305,𡉰,U+21270,𡉰,𡉰,neutral,
32306,𡉱,U+21271,𡉱,𡉱,neutral,
32307,𡉲,U+21272,𡉲,𡉲,neutral,
32308,𡉳,U+21273,𡉳,𡉳,neutral,
32309,𡉴,U+21274,lu2|hu4,lú|hù,neutral,
32310,𡉵,U+21275,𡉵,𡉵,neutral,
32311,𡉶,U+21276,𡉶,𡉶,neutral,
32312,𡉷,U+21277,jie2,jié,neutral,
32313,𡉸,U+21278,shi4,shì,neutral,
32314,𡉹,U+21279,𡉹,𡉹,neutral,
32315,𡉺,U+2127A,zuan1,zuān,neutral,
32316,𡉻,U+2127B,𡉻,𡉻,neutral,
32317,𡉼,U+2127C,𡉼,𡉼,neutral,
32318,𡉽,U+2127D,𡉽,𡉽,neutral,
32319,𡉾,U+2127E,𡉾,𡉾,neutral,
32320,𡉿,U+2127F,𡉿,𡉿,neutral,
32321,𡊀,U+21280,𡊀,𡊀,neutral,
32322,𡊁,U+21281,yi4,yì,neutral,
32323,𡊂,U+21282,𡊂,𡊂,neutral,
32324,𡊃,U+21283,𡊃,𡊃,neutral,
32325,𡊄,U+21284,fen4,fèn,neutral,
32326,𡊅,U+21285,fen4|bian4,fèn|biàn,neutral,
32327,𡊆,U+21286,𡊆,𡊆,neutral,
32328,𡊇,U+21287,𡊇,𡊇,neutral,
32329,𡊈,U+21288,𡊈,𡊈,neutral,
32330,𡊉,U+21289,mo4,mò,neutral,
32331,𡊊,U+2128A,𡊊,𡊊,neutral,
32332,𡊋,U+2128B,𡊋,𡊋,neutral,
32333,𡊌,U+2128C,𡊌,𡊌,neutral,
32334,𡊍,U+2128D,shu4,shù,neutral,
32335,𡊎,U+2128E,𡊎,𡊎,neutral,
32336,𡊏,U+2128F,𡊏,𡊏,neutral,
32337,𡊐,U+21290,𡊐,𡊐,neutral,
32338,𡊑,U+21291,𡊑,𡊑,simplified,the Imperial signet; the great seal
32339,𡊒,U+21292,𡊒,𡊒,neutral,
32340,𡊓,U+21293,𡊓,𡊓,neutral,
32341,𡊔,U+21294,𡊔,𡊔,neutral,
32342,𡊕,U+21295,𡊕,𡊕,neutral,
32343,𡊖,U+21296,𡊖,𡊖,neutral,
32344,𡊗,U+21297,𡊗,𡊗,neutral,
32345,𡊘,U+21298,𡊘,𡊘,neutral,
32346,𡊙,U+21299,𡊙,𡊙,neutral,
32347,𡊚,U+2129A,𡊚,𡊚,neutral,
32348,𡊛,U+2129B,ao2,áo,neutral,
32349,𡊜,U+2129C,𡊜,𡊜,neutral,
32350,𡊝,U+2129D,pi3,pǐ,neutral,
32351,𡊞,U+2129E,ping2|ping4,píng|pìng,neutral,
32352,𡊟,U+2129F,po1,pō,neutral,
32353,𡊠,U+212A0,jia2,jiá,neutral,
32354,𡊡,U+212A1,zhou2,zhóu,neutral,
32355,𡊢,U+212A2,𡊢,𡊢,neutral,
32356,𡊣,U+212A3,qiu1,qiū,neutral,
32357,𡊤,U+212A4,𡊤,𡊤,neutral,
32358,𡊥,U+212A5,𡊥,𡊥,neutral,
32359,𡊦,U+212A6,𡊦,𡊦,neutral,
32360,𡊧,U+212A7,you3,yǒu,neutral,
32361,𡊨,U+212A8,tan2,tán,neutral,
32362,𡊩,U+212A9,𡊩,𡊩,neutral,
32363,𡊪,U+212AA,𡊪,𡊪,neutral,
32364,𡊫,U+212AB,rong3,rǒng,neutral,
32365,𡊬,U+212AC,𡊬,𡊬,neutral,
32366,𡊭,U+212AD,mi4,mì,neutral,
32367,𡊮,U+212AE,𡊮,𡊮,neutral,long robe
32368,𡊯,U+212AF,𡊯,𡊯,neutral,
32369,𡊰,U+212B0,𡊰,𡊰,neutral,
32370,𡊱,U+212B1,𡊱,𡊱,neutral,
32371,𡊲,U+212B2,𡊲,𡊲,neutral,
32372,𡊳,U+212B3,𡊳,𡊳,neutral,
32373,𡊴,U+212B4,𡊴,𡊴,neutral,
32374,𡊵,U+212B5,𡊵,𡊵,neutral,
32375,𡊶,U+212B6,yi4,yì,neutral,
32376,𡊷,U+212B7,𡊷,𡊷,neutral,
32377,𡊸,U+212B8,rong3,rǒng,neutral,
32378,𡊹,U+212B9,𡊹,𡊹,neutral,
32379,𡊺,U+212BA,𡊺,𡊺,neutral,
32380,𡊻,U+212BB,lie4,liè,neutral,
32381,𡊼,U+212BC,qiong2,qióng,neutral,
32382,𡊽,U+212BD,𡊽,𡊽,neutral,
32383,𡊾,U+212BE,𡊾,𡊾,neutral,
32384,𡊿,U+212BF,𡊿,𡊿,neutral,
32385,𡋀,U+212C0,𡋀,𡋀,simplified,
32386,𡋁,U+212C1,𡋁,𡋁,neutral,
32387,𡋂,U+212C2,𡋂,𡋂,neutral,
32388,𡋃,U+212C3,𡋃,𡋃,neutral,
32389,𡋄,U+212C4,𡋄,𡋄,neutral,
32390,𡋅,U+212C5,𡋅,𡋅,neutral,
32391,𡋆,U+212C6,𡋆,𡋆,neutral,
32392,𡋇,U+212C7,𡋇,𡋇,neutral,
32393,𡋈,U+212C8,𡋈,𡋈,neutral,
32394,𡋉,U+212C9,𡋉,𡋉,neutral,
32395,𡋊,U+212CA,𡋊,𡋊,neutral,
32396,𡋋,U+212CB,𡋋,𡋋,neutral,
32397,𡋌,U+212CC,𡋌,𡋌,neutral,
32398,𡋍,U+212CD,𡋍,𡋍,neutral,
32399,𡋎,U+212CE,𡋎,𡋎,neutral,
32400,𡋏,U+212CF,𡋏,𡋏,neutral,
32401,𡋐,U+212D0,𡋐,𡋐,neutral,
32402,𡋑,U+212D1,𡋑,𡋑,neutral,
32403,𡋒,U+212D2,𡋒,𡋒,neutral,
32404,𡋓,U+212D3,𡋓,𡋓,neutral,
32405,𡋔,U+212D4,𡋔,𡋔,neutral,
32406,𡋕,U+212D5,𡋕,𡋕,neutral,
32407,𡋖,U+212D6,𡋖,𡋖,neutral,
32408,𡋗,U+212D7,𡋗,𡋗,simplified,
32409,𡋘,U+212D8,𡋘,𡋘,neutral,
32410,𡋙,U+212D9,hui2,huí,neutral,
32411,𡋚,U+212DA,ji4,jì,neutral,
32412,𡋛,U+212DB,𡋛,𡋛,neutral,
32413,𡋜,U+212DC,𡋜,𡋜,neutral,
32414,𡋝,U+212DD,𡋝,𡋝,neutral,
32415,𡋞,U+212DE,𡋞,𡋞,neutral,
32416,𡋟,U+212DF,gao4,gào,neutral,
32417,𡋠,U+212E0,𡋠,𡋠,neutral,
32418,𡋡,U+212E1,𡋡,𡋡,neutral,
32419,𡋢,U+212E2,𡋢,𡋢,neutral,
32420,𡋣,U+212E3,𡋣,𡋣,neutral,
32421,𡋤,U+212E4,𡋤,𡋤,simplified,
32422,𡋥,U+212E5,𡋥,𡋥,neutral,
32423,𡋦,U+212E6,𡋦,𡋦,neutral,
32424,𡋧,U+212E7,you2,yóu,neutral,
32425,𡋨,U+212E8,cha1,chā,neutral,
32426,𡋩,U+212E9,de2,dé,neutral,
32427,𡋪,U+212EA,yin1,yīn,neutral,
32428,𡋫,U+212EB,𡋫,𡋫,neutral,
32429,𡋬,U+212EC,yu4,yù,neutral,
32430,𡋭,U+212ED,bei4,bèi,neutral,
32431,𡋮,U+212EE,𡋮,𡋮,neutral,
32432,𡋯,U+212EF,bo2,bó,neutral,
32433,𡋰,U+212F0,𡋰,𡋰,neutral,
32434,𡋱,U+212F1,𡋱,𡋱,neutral,
32435,𡋲,U+212F2,𡋲,𡋲,neutral,
32436,𡋳,U+212F3,𡋳,𡋳,neutral,
32437,𡋴,U+212F4,𡋴,𡋴,neutral,
32438,𡋵,U+212F5,𡋵,𡋵,neutral,
32439,𡋶,U+212F6,𡋶,𡋶,neutral,
32440,𡋷,U+212F7,𡋷,𡋷,neutral,
32441,𡋸,U+212F8,𡋸,𡋸,neutral,
32442,𡋹,U+212F9,𡋹,𡋹,neutral,
