id,char,codepoint,pinyins,script_type,variants,gloss_en,examples,hsk_level
11067,示,U+793A,shì(509)|qí|zhì,neutral,,to show,不甘示弱|以示警戒|來示,2
11068,礻,U+793B,shì,neutral,,,,
11069,礼,U+793C,lǐ(114),neutral,禮,surname Li,下水礼|以礼相待|伴手礼,2
11070,礽,U+793D,réng,neutral,,blessings,,
11071,社,U+793E,shè(2459),neutral,,(bound form) society; organization; agency,上流社會|上流社会|中國大百科全書出版社,3
11072,礿,U+793F,yuè,neutral,,spring imperial ancestral sacrifice,,
11073,祀,U+7940,sì,neutral,,to sacrifice,奉祀|祀物|祀神,7-9
11074,祁,U+7941,qí|zhǐ,neutral,,surname Qi,宋祁|朱祁鈺|朱祁钰,
11075,祂,U+7942,tā,neutral,,(third person pronoun for a divine being),,
11076,祃,U+7943,mà,simplified,禡,(arch.) religious ritual on setting out for war,,
11077,祄,U+7944,xiè,neutral,,to bless,,
11078,祅,U+7945,yāo,neutral,,evil spirit,,
11079,祆,U+7946,xiān,neutral,,"Ahura Mazda, the creator deity in Zoroastrianism",祆教,
11080,祇,U+7947,qí|chí|zhī,neutral,,variant of 只[zhi3],地祇|神祇,
11081,祈,U+7948,qí|guǐ,neutral,,to implore,啟應祈禱|启应祈祷|祈仙台,7-9
11082,祉,U+7949,zhǐ,neutral,,felicity,潭祉|祉祿|祉禄,
11083,祊,U+794A,bēng|fāng,neutral,,side altar inside ancestral temple,,
11084,祋,U+794B,duì,neutral,,,,
11085,祌,U+794C,zhòng|chōng,neutral,,,,
11086,祍,U+794D,rèn,neutral,,old variant of 衽[ren4],,
11087,祎,U+794E,yī,simplified,禕,excellent,,
11088,祏,U+794F,shí,neutral,,stone shrine,,
11089,祐,U+7950,yòu,neutral,,(of divinity) to bless,保祐|庇祐,
11090,祑,U+7951,zhì,neutral,,,,
11091,祒,U+7952,tiáo,neutral,,,,
11092,祓,U+7953,fú|fèi,neutral,,to cleanse,祓濯|祓禊|祓除,
11093,祔,U+7954,fù,neutral,,worship ancestors,,
11094,祕,U+7955,mì|bì,neutral,,variant of 秘[mi4],大便祕結|奧祕|怪祕,
11095,祖,U+7956,zǔ(366)|jiē,neutral,,surname Zu,五祖拳|伯叔祖母|伯叔祖父,6
11096,祗,U+7957,zhī,neutral,,respectful (ly),,
11097,祘,U+7958,suàn,neutral,,"variant of 算[suan4], to calculate",,
11098,祙,U+7959,mèi,neutral,,,,
11099,祚,U+795A,zuò,neutral,,blessing,亨祚|國祚|国祚,
11100,祛,U+795B,qū,neutral,,sacrifice to drive away calamity,祛寒|祛暑|祛淤,
11101,祜,U+795C,hù,neutral,,celestial blessing,孟連傣族拉祜族佤族自治縣|孟连傣族拉祜族佤族自治县|拉祜族,
11102,祝,U+795D,zhù(91)|chù|zhòu,neutral,,surname Zhu,天祝|天祝縣|天祝县,3
11103,神,U+795E,shén(846)|shen(30),neutral,,God,一神教|一神論|一神论,3
11104,祟,U+795F,suì,neutral,,evil spirit,作祟|邪祟|除祟,
11105,祠,U+7960,cí|sì,neutral,,shrine,土穀祠|土谷祠|宗祠,
11106,祡,U+7961,chái,neutral,,,,
11107,祢,U+7962,mí|nǐ,neutral,禰,you (used to address a deity),,
11108,祣,U+7963,lǚ,neutral,,,,
11109,祤,U+7964,yǔ,neutral,,,,
11110,祥,U+7965,xiáng(20),neutral,,auspicious,不祥|不祥之兆|吉祥,6
11111,祦,U+7966,wú,neutral,,happy,,
11112,祧,U+7967,tiāo,neutral,,ancestral hall,,
11113,票,U+7968,piào(175),neutral,,ticket,三聯式發票|三联式发票|不信任投票,1
11114,祩,U+7969,zhù,neutral,,,,
11115,祪,U+796A,guǐ,neutral,,,,
11116,祫,U+796B,xiá,neutral,,triennial sacrifice to ancestors,,
11117,祬,U+796C,zhī,neutral,,,,
11118,祭,U+796D,jì|zhài,neutral,,surname Zhai,主祭|全燒祭|全烧祭,7-9
11119,祮,U+796E,gào,neutral,,,,
11120,祯,U+796F,zhēn,simplified,禎,auspicious,崇祯|徐祯卿,
11121,祰,U+7970,gào,neutral,,,,
11122,祱,U+7971,shuì|lèi,neutral,,,,
11123,祲,U+7972,jìn,neutral,,evil force,,
11124,祳,U+7973,shèn,neutral,,,,
11125,祴,U+7974,gāi,neutral,,,,
11126,祵,U+7975,kǔn,neutral,,,,
11127,祶,U+7976,dì,neutral,,,,
11128,祷,U+7977,dǎo,neutral,禱,prayer,主祷文|代祷|做祷告,7-9
11129,祸,U+7978,huò(16),simplified,禍,old variant of 禍|祸[huo4],人祸|兵连祸结|包藏祸心,7-9
11130,祹,U+7979,táo,neutral,,,,
11131,祺,U+797A,qí,neutral,,(literary) good luck; good fortune,商祺|段祺瑞,
11132,祻,U+797B,gù,neutral,,"variant of 禍|祸, disaster",,
11133,祼,U+797C,guàn,neutral,,pour out libation,,
11134,祽,U+797D,zuì,neutral,,,,
11135,祾,U+797E,líng,neutral,,,,
11136,祿,U+797F,lù,traditional,禄,good fortune,世祿|世祿之家|他加祿語,
11137,禀,U+7980,bǐng,neutral,稟,to make a report (to a superior),入禀|回禀|天赋异禀,
11138,禁,U+7981,jìn(78)|jīn(64),neutral,,to endure,不禁|令行禁止|全面禁止,4
11139,禂,U+7982,dǎo,neutral,,to pray,,
11140,禃,U+7983,zhí,neutral,,,,
11141,禄,U+7984,lù,simplified,祿,good fortune,世禄|世禄之家|他加禄语,
11142,禅,U+7985,chán|shàn,simplified,禪,dhyana (Sanskrit),刘禅|参禅|受禅,7-9
11143,禆,U+7986,bì,neutral,,,,
11144,禇,U+7987,zhě,neutral,,erroneous form of 褚,,
11145,禈,U+7988,huī,neutral,,,,
11146,禉,U+7989,yǒu,neutral,,,,
11147,禊,U+798A,xì,neutral,,semiannual ceremony of purification,修禊|祓禊,
11148,禋,U+798B,yīn,neutral,,sacrifice,,
11149,禌,U+798C,zī,neutral,,,,
11150,禍,U+798D,huò(16),traditional,祸,disaster,人禍|兵連禍結|包藏禍心,7-9
11151,禎,U+798E,zhēn|zhēng,traditional,祯,auspicious,崇禎|徐禎卿,
11152,福,U+798F,fú(199),neutral,,surname Fu,一飽眼福|一饱眼福|五福臨門,3
11153,禐,U+7990,yuàn,neutral,,,,
11154,禑,U+7991,wú,neutral,,happy,,
11155,禒,U+7992,xiǎn,neutral,,,,
11156,禓,U+7993,yáng|shāng,traditional,𰧰,,,
11157,禔,U+7994,zhī,neutral,,well-being,,
11158,禕,U+7995,yī,traditional,祎,excellent,,
11159,禖,U+7996,méi,neutral,,heir-requesting sacrifice,,
11160,禗,U+7997,sī,neutral,,,,
11161,禘,U+7998,dì,neutral,,imperial ancestral sacrifice,,
11162,禙,U+7999,bèi,neutral,,,,
11163,禚,U+799A,zhuó,neutral,,place name,,
11164,禛,U+799B,zhēn,neutral,,to receive blessings in a sincere spirit,王士禛,
11165,禜,U+799C,yǒng|yíng,traditional,𰱈,sacrifice,,
11166,禝,U+799D,jì,neutral,,old variant of 稷[ji4],,
11167,禞,U+799E,gào,neutral,,,,
11168,禟,U+799F,táng,neutral,,,,
11169,禠,U+79A0,sī,neutral,,felicity,,
11170,禡,U+79A1,mà,traditional,祃,(arch.) religious ritual on setting out for war,,
11171,禢,U+79A2,tà,neutral,,surname Ta,,
11172,禣,U+79A3,fù,neutral,,,,
11173,禤,U+79A4,xuān,neutral,,surname Xuan,,
11174,禥,U+79A5,qí,neutral,,old variant of 祺[qi2],,
11175,禦,U+79A6,yù,traditional,御,(bound form) to defend; to resist,兄弟鬩於墻，外禦其侮|守禦|抵禦,7-9
11176,禧,U+79A7,xǐ|xī,neutral,,joy,千禧一代|千禧年|延禧攻略,
11177,禨,U+79A8,jī|jì|qí,neutral,,omen,,
11178,禩,U+79A9,sì,neutral,,variant of 祀[si4],,
11179,禪,U+79AA,shàn|chán|tán,traditional,禅,dhyana (Sanskrit),劉禪|參禪|受禪,7-9
11180,禫,U+79AB,dàn,neutral,,sacrifice at the end of mourning,,
11181,禬,U+79AC,guì,traditional,𰧻,,,
11182,禭,U+79AD,suì,neutral,,,,
11183,禮,U+79AE,lǐ(114),traditional,礼,surname Li,下水禮|以禮相待|伴手禮,2
11184,禯,U+79AF,nóng,traditional,𰧾,,,
11185,禰,U+79B0,nǐ|mí|nǐ|xiǎn,traditional,祢,surname Mi,,
11186,禱,U+79B1,dǎo,traditional,祷,prayer,主禱文|代禱|做禱告,7-9
11187,禲,U+79B2,lì,neutral,,,,
11188,禳,U+79B3,ráng,neutral,,sacrifice for avoiding calamity,祈福禳災|祈福禳灾|禳解,
11189,禴,U+79B4,yuè,neutral,,spring imperial ancestral sacrifice,,
11190,禵,U+79B5,tí,traditional,𰨖,,,
11191,禶,U+79B6,zàn,neutral,,,,
11192,禷,U+79B7,lèi,neutral,,,,
11193,禸,U+79B8,róu,neutral,,trample,,
11194,禹,U+79B9,yǔ,neutral,,"Yu the Great (c. 21st century BC), mythical leader who tamed the floods",劉禹錫|刘禹锡|夏禹,
11195,禺,U+79BA,yù|yú,neutral,,old variant of 偶[ou3],曹禺|番禺|番禺區,
11196,离,U+79BB,lí(790)|chī,simplified,離,mythical beast (archaic),三句话不离本行|不即不离|不可分离,2
11197,禼,U+79BC,xiè,neutral,,,,
11198,禽,U+79BD,qín,neutral,,(bound form) birds; fowl,家禽|捕禽人|水禽,7-9
11199,禾,U+79BE,hé,neutral,,cereal,嘉禾|嘉禾縣|嘉禾县,7-9
11200,禿,U+79BF,tū(13),traditional,秃,bald (lacking hair or feathers),光禿禿|圓禿|對著和尚罵賊禿,7-9
11201,秀,U+79C0,xiù(93),neutral,,(bound form) refined; elegant; graceful; beautiful,一枝獨秀|一枝独秀|上菜秀,4
11202,私,U+79C1,sī(114),neutral,,personal,中飽私囊|中饱私囊|以權謀私,5
11203,秂,U+79C2,rén,neutral,,,,
11204,秃,U+79C3,tū(13),neutral,禿,bald (lacking hair or feathers),光秃秃|圆秃|对着和尚骂贼秃,7-9
11205,秄,U+79C4,zǐ|zì,neutral,,,,
11206,秅,U+79C5,chá|ná,neutral,,,,
11207,秆,U+79C6,gǎn(12),neutral,稈,stalks of grain,禾秆|秸秆|草秆,
11208,秇,U+79C7,yì|zhí,neutral,,,,
11209,秈,U+79C8,xiān,traditional,籼,common rice,,
11210,秉,U+79C9,bǐng,neutral,,surname Bing,一秉虔誠|一秉虔诚|公秉,7-9
11211,秊,U+79CA,nián,neutral,,grain,,
11212,秋,U+79CB,qiū(172),neutral,鞦,surname Qiu,一日三秋|一日不見，如隔三秋|一日不见，如隔三秋,2
11213,秌,U+79CC,qiū,neutral,,old variant of 秋[qiu1],,
11214,种,U+79CD,zhǒng(3481)|zhòng(285)|chóng,neutral,種,seed,一种|丙种射线|乙种,3
11215,秎,U+79CE,fèn,neutral,,,,
11216,秏,U+79CF,hào|mào,neutral,,variant of 耗[hao4],,
11217,秐,U+79D0,yún,neutral,,,,
11218,科,U+79D1,kē(1462),neutral,,branch of study,中國國防科技信息中心|中国国防科技信息中心|中國大百科全書出版社,2
11219,秒,U+79D2,miǎo(104),neutral,,second (unit of time),三秒膠|三秒胶|分秒必爭,5
11220,秓,U+79D3,zhī,neutral,,,,
11221,秔,U+79D4,jīng,neutral,,variant of 粳[jing1],,
11222,秕,U+79D5,bǐ,neutral,,grain not fully grown,秕子|秕穀|秕谷,
11223,秖,U+79D6,zhī,neutral,,grain that has begun to ripen,,
11224,秗,U+79D7,yù,neutral,,,,
11225,秘,U+79D8,mì(154)|bì|bié,neutral,,variant of 秘[mi4],一秘|便秘|副秘書長,4
11226,秙,U+79D9,kù,neutral,,,,
11227,秚,U+79DA,bàn,neutral,,old variant of 拌[ban4],,
11228,秛,U+79DB,pī,neutral,,,,
11229,秜,U+79DC,ní|nì,neutral,,self-sown rice,,
11230,秝,U+79DD,lì,neutral,,,,
11231,秞,U+79DE,yóu,neutral,,,,
11232,租,U+79DF,zū(51)|jū,neutral,,to hire,公租房|出租|出租司機,2
11233,秠,U+79E0,pī,neutral,,(millet),,
11234,秡,U+79E1,bó,neutral,,,,
11235,秢,U+79E2,líng,neutral,,,,
11236,秣,U+79E3,mò,neutral,,feed a horse with grain,糧秣|粮秣|芻秣,
11237,秤,U+79E4,chèng(15)|píng,neutral,,to weigh (variant of 稱|称[cheng1]),假秤|天秤|天秤座,7-9
11238,秥,U+79E5,nián,neutral,,,,
11239,秦,U+79E6,qín,neutral,,surname Qin,先秦|前秦|大秦,7-9
11240,秧,U+79E7,yāng(64),neutral,,sapling; seedling; sprout; (esp.) rice seedling,拔秧|插秧|普通秧雞,7-9
11241,秨,U+79E8,zuó,neutral,,,,
11242,秩,U+79E9,zhì(46),neutral,,(literary) salary according to rank,公共秩序|品秩|無秩序,7-9
11243,秪,U+79EA,zhī,neutral,,,,
11244,秫,U+79EB,shú,neutral,,broomcorn millet (Panicum spp.),秫米,
11245,秬,U+79EC,jù,neutral,,black millet,,
11246,秭,U+79ED,zǐ,neutral,,billion,秭歸|秭归|秭歸縣,
11247,秮,U+79EE,huó,neutral,,,,
11248,积,U+79EF,jī(562)|zhǐ,simplified,積,to amass; to accumulate; to store up,不定积分|乘积|内积,3
11249,称,U+79F0,chēng(318)|chèn(20),neutral,稱,to fit; to match; to suit,不对称|并称|交口称誉,2
11250,秱,U+79F1,tóng,neutral,,,,
11251,秲,U+79F2,zhì|shì,neutral,,,,
11252,秳,U+79F3,huó|kuò,neutral,,,,
11253,秴,U+79F4,hé|gé,neutral,,,,
11254,秵,U+79F5,yīn,neutral,,,,
11255,秶,U+79F6,zī,neutral,,,,
11256,秷,U+79F7,zhì,neutral,,sound of reaping,,
11257,秸,U+79F8,jiē|jí,neutral,,grain stalks left after threshing,秸稈|秸秆|麥秸,
11258,秹,U+79F9,rěn,neutral,,,,
11259,秺,U+79FA,dù,neutral,,,,
11260,移,U+79FB,yí(221)|chǐ,neutral,,to move,不移|中國移動通信|中国移动通信,4
11261,秼,U+79FC,zhū,neutral,,,,
11262,秽,U+79FD,huì,simplified,穢,(bound form) dirty; filthy,污秽|污言秽语|淫秽,7-9
11263,秾,U+79FE,nóng,simplified,穠,lush flora,,
11264,秿,U+79FF,fù|bū|pū,neutral,,,,
11265,稀,U+7A00,xī(56),neutral,,sparse; scattered,人煙稀少|人烟稀少|依稀,7-9
11266,稁,U+7A01,gǎo,neutral,,,,
11267,稂,U+7A02,láng,neutral,,grass,不稂不莠,
11268,稃,U+7A03,fū,neutral,,husk,內稃|内稃|外稃,
11269,稄,U+7A04,xùn|zè,neutral,,,,
11270,稅,U+7A05,shuì(23),traditional,税,taxes,上稅|人頭稅|保稅,6
11271,稆,U+7A06,lǚ,simplified,穭,variant of 穭|穞[lu:3],,
11272,稇,U+7A07,kǔn,neutral,,,,
11273,稈,U+7A08,gǎn(12),traditional,秆,stalks of grain,禾稈|秸稈|草稈,
11274,稉,U+7A09,jīng,neutral,,variant of 粳[jing1],,
11275,稊,U+7A0A,tí,neutral,,grass,,
11276,程,U+7A0B,chéng(830),neutral,,surname Cheng,一次方程|一次方程式|一級方程式,3
11277,稌,U+7A0C,tú|shǔ,neutral,,sticky rice,,
11278,稍,U+7A0D,shāo(118),neutral,,somewhat,稍候|稍嫌|稍安勿躁,5
11279,税,U+7A0E,shuì(23)|tuàn|tuì|tuō,simplified,稅,taxes,上税|人头税|保税,6
11280,稏,U+7A0F,yà,traditional,䅉,,,
11281,稐,U+7A10,lǔn,neutral,,,,
11282,稑,U+7A11,lù,neutral,,late-planted early-ripening grain,,
11283,稒,U+7A12,gù,neutral,,,,
11284,稓,U+7A13,zuó,neutral,,,,
11285,稔,U+7A14,rěn,neutral,,(literary) ripe grain; ripe; harvest; year,熟稔|稔知,
11286,稕,U+7A15,zhùn|zhǔn,neutral,,,,
11287,稖,U+7A16,bàng,neutral,,,,
11288,稗,U+7A17,bài,neutral,,barnyard millet (Echinochloa crus-galli),稗官,
11289,稘,U+7A18,jī|qí,neutral,,,,
11290,稙,U+7A19,zhì,neutral,,early-planted crop,足利義稙|足利义稙,
11291,稚,U+7A1A,zhì(16),neutral,,infantile,幼稚|幼稚園|幼稚园,7-9
11292,稛,U+7A1B,kǔn,neutral,,full,,
11293,稜,U+7A1C,léng|lèng|líng,neutral,,arris; edge,三稜草|三稜鏡|丹稜,
11294,稝,U+7A1D,péng,neutral,,,,
11295,稞,U+7A1E,huà|kē,neutral,,(wheat),青稞,
11296,稟,U+7A1F,lǐn|bǐng,traditional,禀,to make a report (to a superior),入稟|回稟|天賦異稟,
11297,稠,U+7A20,chóu(8)|diào|tiáo,neutral,,dense,人口稠密|人煙稠密|人烟稠密,7-9
11298,稡,U+7A21,zuì|zú|sū,neutral,,,,
11299,稢,U+7A22,yù,neutral,,,,
11300,稣,U+7A23,sū,simplified,穌,archaic variant of 蘇|苏[su1],耶稣|耶稣光|耶稣升天节,
11301,稤,U+7A24,lüè,neutral,,,,
11302,稥,U+7A25,xiāng,neutral,,,,
11303,稦,U+7A26,yī,traditional,𮵠,,,
11304,稧,U+7A27,xì|qiè,neutral,,,,
11305,稨,U+7A28,biǎn,neutral,,see 稨豆[bian3 dou4],稨豆,
11306,稩,U+7A29,jì,neutral,,,,
11307,稪,U+7A2A,fú,neutral,,,,
11308,稫,U+7A2B,pì|bì,neutral,,,,
11309,稬,U+7A2C,nuò,neutral,,variant of 糯[nuo4],,
11310,稭,U+7A2D,jiē,neutral,,variant of 秸[jie1],,
11311,種,U+7A2E,zhǒng(3481)|zhòng(285)|chóng,traditional,种,seed,一種|丙種射線|乙種,3
11312,稯,U+7A2F,zōng|zǒng,neutral,,,,
11313,稰,U+7A30,xǔ|xū,neutral,,,,
11314,稱,U+7A31,chēng(318)|chèn(20),traditional,称,to fit; to match; to suit,不對稱|並稱|交口稱譽,2
11315,稲,U+7A32,dào,neutral,,variant of 稻[dao4],,
11316,稳,U+7A33,wěn(152),neutral,穩,settled; steady; stable,不稳|不稳平衡|不稳性,4
11317,稴,U+7A34,xián|jiān|liàn|liǎn,neutral,,,,
11318,稵,U+7A35,zī|jiū,neutral,,,,
11319,稶,U+7A36,yù,neutral,,,,
11320,稷,U+7A37,jì|zè,neutral,,millet,匡扶社稷|社稷|稷山,
11321,稸,U+7A38,xù,neutral,,,,
11322,稹,U+7A39,zhěn|zhēn|biān,neutral,,to accumulate,,
11323,稺,U+7A3A,zhì,neutral,,old variant of 稚[zhi4],,
11324,稻,U+7A3B,dào(92),neutral,,paddy,再生稻|壓死駱駝的最後一根稻草|压死骆驼的最后一根稻草,7-9
11325,稼,U+7A3C,jia(118),neutral,,to sow grain,稼穡|稼穑|莊稼,7-9
11326,稽,U+7A3D,jī|qǐ,neutral,,surname Ji,滑天下之大稽|滑稽|無稽,7-9
11327,稾,U+7A3E,gǎo|kào|gào|jiào,neutral,,variant of 稿[gao3],,
11328,稿,U+7A3F,gǎo(64),neutral,,variant of 稿[gao3],供稿|修改稿|初稿,6
11329,穀,U+7A40,gǔ,traditional,谷,grain,五穀|五穀豐登|全穀物,6
11330,穁,U+7A41,róng,neutral,,,,
11331,穂,U+7A42,suì,neutral,,Japanese variant of 穗[sui4],,
11332,穃,U+7A43,rong,neutral,,,,
11333,穄,U+7A44,jì,neutral,,(millet),,
11334,穅,U+7A45,kāng,neutral,,variant of 糠[kang1],,
11335,穆,U+7A46,mù(10),neutral,,surname Mu,亞穆蘇克羅|亚穆苏克罗|周穆王,7-9
11336,穇,U+7A47,cǎn|shān|cēn,traditional,䅟,panicum frumentaceum,,
11337,穈,U+7A48,mén|mí|méi,neutral,,porridge,,
11338,穉,U+7A49,zhì|chí|tí,neutral,,variant of 稚[zhi4],,
11339,穊,U+7A4A,jì,neutral,,dense,,
11340,穋,U+7A4B,lù|jiū,neutral,,late-planted early-ripening grain,,
11341,穌,U+7A4C,sū,traditional,稣,archaic variant of 蘇|苏[su1],耶穌|耶穌光|耶穌升天節,
11342,積,U+7A4D,jī(562),traditional,积,to amass; to accumulate; to store up,不定積分|乘積|內積,3
11343,穎,U+7A4E,yǐng(11),traditional,颖,head of grain,孔穎達|新穎|王穎,7-9
11344,穏,U+7A4F,wěn,neutral,,Japanese variant of 穩|稳,,
11345,穐,U+7A50,qiū,neutral,,,,
11346,穑,U+7A51,sè,simplified,穡,gather in harvest,稼穑,
11347,穒,U+7A52,hè,neutral,,,,
11348,穓,U+7A53,yì,neutral,,,,
11349,穔,U+7A54,huáng,neutral,,,,
11350,穕,U+7A55,qiè,neutral,,,,
11351,穖,U+7A56,jǐ|jì,traditional,𬓠,,,
11352,穗,U+7A57,suì(20),neutral,,abbr. for Guangzhou 廣州|广州[Guang3 zhou1],三穗|三穗縣|三穗县,
11353,穘,U+7A58,xiāo|rào,neutral,,,,
11354,穙,U+7A59,pú,neutral,,,,
11355,穚,U+7A5A,jiāo,neutral,,,,
11356,穛,U+7A5B,zhuō|bó,neutral,,,,
11357,穜,U+7A5C,tóng|zhòng|zhǒng,neutral,,early-planted late-ripening grain,,
11358,穝,U+7A5D,zui,neutral,,,,
11359,穞,U+7A5E,lǚ,neutral,,wild grain,,
11360,穟,U+7A5F,suì,neutral,,ear of grain,,
11361,穠,U+7A60,nóng,traditional,秾,lush flora,,
11362,穡,U+7A61,sè,traditional,穑,gather in harvest,稼穡,
11363,穢,U+7A62,huì,traditional,秽,(bound form) dirty; filthy,污穢|污言穢語|淫穢,7-9
11364,穣,U+7A63,ráng,neutral,,Japanese variant of 穰[rang2],,
11365,穤,U+7A64,nuò,neutral,,variant of 糯[nuo4],,
11366,穥,U+7A65,yù|yǔ,neutral,,,,
11367,穦,U+7A66,pīn,neutral,,,,
11368,穧,U+7A67,jì|zì,traditional,𰨦,stack grain stalks evenly,,
11369,穨,U+7A68,tuí,traditional,𬓼,variant of 頹|颓[tui2],,
11370,穩,U+7A69,wěn(152),traditional,稳,settled; steady; stable,不穩|不穩平衡|不穩性,4
11371,穪,U+7A6A,chēng|bié,neutral,,,,
11372,穫,U+7A6B,huò|hù,traditional,获,(bound form) to reap; to harvest,一分耕耘，一分收穫|收穫|收穫節,4
11373,穬,U+7A6C,kuàng,traditional,𰨜,,,
11374,穭,U+7A6D,lǚ,traditional,稆,wild grain,,
11375,穮,U+7A6E,biāo|pāo,neutral,,to weed,,
11376,穯,U+7A6F,sè,neutral,,old variant of 穡|穑[se4],,
11377,穰,U+7A70,ráng|rǎng|réng,neutral,,surname Rang,人煙浩穰|人烟浩穰|司馬穰苴,
11378,穱,U+7A71,zhuō|jué,neutral,,,,
11379,穲,U+7A72,lí,neutral,,,,
11380,穳,U+7A73,cuán|zàn,neutral,,,,
11381,穴,U+7A74,xué|jué,neutral,,cave,不入虎穴，焉得虎子|俞穴|八會穴,7-9
11382,穵,U+7A75,yà|wā,neutral,,to dig,,
11383,究,U+7A76,jiū(1138)|jiu(41),neutral,,after all,一探究竟|中央研究院|中美文化研究中心,4
11384,穷,U+7A77,qióng(214),neutral,窮,poor,一穷二白|不穷|人穷志不穷,4
11385,穸,U+7A78,xī,neutral,,tomb,窀穸,
11386,穹,U+7A79,qióng|qiōng|kōng,neutral,,vault,熔岩穹丘|穹丘|穹廬,
11387,空,U+7A7A,kōng(857)|kòng(69),neutral,,empty,一場空|一场空|一掃而空,2
11388,穻,U+7A7B,yū|yǔ,neutral,,,,
11389,穼,U+7A7C,shēn,neutral,,,,
11390,穽,U+7A7D,jǐng,neutral,,variant of 阱[jing3],,
11391,穾,U+7A7E,yào|yǎo,neutral,,,,
11392,穿,U+7A7F,chuān(594)|yuān,neutral,,to wear,一眼看穿|亂穿馬路|乱穿马路,1
11393,窀,U+7A80,zhūn|tún,neutral,,to bury,窀穸,
11394,突,U+7A81,tū(474),neutral,,to dash,乳突|乳突竇|乳突窦,3
11395,窂,U+7A82,láo,neutral,,variant of 牢[lao2],,
11396,窃,U+7A83,qiè(38),neutral,竊,to steal,偷窃|偷香窃玉|剽窃,7-9
11397,窄,U+7A84,zhǎi(47),neutral,,narrow,二尖瓣狹窄|二尖瓣狭窄|冤家路窄,7-9
11398,窅,U+7A85,yǎo,neutral,,sunken eyes,窅然,
11399,窆,U+7A86,biǎn,neutral,,to put a coffin in the grave,,
11400,窇,U+7A87,báo,neutral,,,,
11401,窈,U+7A88,yǎo|yào,neutral,,(literary) deep; profound; dim (variant of 杳[yao3]),窈冥|窈窈|窈窕,
11402,窉,U+7A89,bǐng,neutral,,,,
11403,窊,U+7A8A,wā,neutral,,lowland swamp,,
11404,窋,U+7A8B,zhú|kū,neutral,,in a hole,,
11405,窌,U+7A8C,jiào|pào|liáo|liù,neutral,,cellar,,
11406,窍,U+7A8D,qiào,simplified,竅,hole,一窍不通|七窍|七窍生烟,7-9
11407,窎,U+7A8E,diào,simplified,窵,(literary) distant,,
11408,窏,U+7A8F,wū,neutral,,,,
11409,窐,U+7A90,guī|wā,neutral,,,,
11410,窑,U+7A91,yáo(73),simplified,窯,kiln,土窑|破瓦寒窑|砖窑,7-9
11411,窒,U+7A92,zhì|dié,neutral,,to obstruct,窒息|窒息性毒劑|窒息性毒剂,7-9
11412,窓,U+7A93,chuāng,neutral,,variant of 窗[chuang1],,
11413,窔,U+7A94,yào|yǎo,neutral,,dark,,
11414,窕,U+7A95,tiǎo|tiāo,neutral,,quiet and secluded,窈窕|窕邃|輕窕,
11415,窖,U+7A96,jiào(12)|zào,neutral,,cellar,冰窖|地窖|墓窖,
11416,窗,U+7A97,chuāng(372)|cōng,neutral,,old variant of 窗[chuang1],兩耳不聞窗外事|两耳不闻窗外事|前庭窗,4
11417,窘,U+7A98,jiǒng,neutral,,distressed,受窘|困窘|發窘,7-9
11418,窙,U+7A99,xiāo,neutral,,,,
11419,窚,U+7A9A,chéng,neutral,,,,
11420,窛,U+7A9B,kòu,neutral,,,,
11421,窜,U+7A9C,cuàn(51),simplified,竄,to flee,乱窜|奔窜|抱头鼠窜,7-9
11422,窝,U+7A9D,wō(153),simplified,窩,nest,一窝蜂|兔子不吃窝边草|卵巢窝,7-9
11423,窞,U+7A9E,dàn,neutral,,pit,,
11424,窟,U+7A9F,kū(26),neutral,,cave,吳哥窟|吴哥窟|四大石窟,7-9
11425,窠,U+7AA0,kē,neutral,,nest,不落窠臼|窠臼|臼窠,
11426,窡,U+7AA1,zhuó,neutral,,,,
11427,窢,U+7AA2,xū,neutral,,,,
11428,窣,U+7AA3,sū,neutral,,used in 窸窣[xi1 su1],窸窣,
11429,窤,U+7AA4,guān,neutral,,,,
11430,窥,U+7AA5,kuī,simplified,窺,to peep,一窥端倪|偷窥|偷窥狂,7-9
11431,窦,U+7AA6,dòu,simplified,竇,surname Dou,乳突窦|利玛窦|利马窦,
11432,窧,U+7AA7,zhuo,neutral,,,,
11433,窨,U+7AA8,yìn|yīn|xūn,neutral,,to scent tea with flowers,地窨|地窨子|窨井,
11434,窩,U+7AA9,wō(153),traditional,窝,nest,一窩蜂|兔子不吃窩邊草|卵巢窩,7-9
11435,窪,U+7AAA,wā,traditional,洼,depression; low-lying area,低窪|坑坑窪窪|坑窪,
11436,窫,U+7AAB,yà|yē,neutral,,,,
11437,窬,U+7AAC,yú|dōu,neutral,,hole in a wall,,
11438,窭,U+7AAD,jù,simplified,窶,poor,,
11439,窮,U+7AAE,qióng(214),traditional,穷,poor,一窮二白|不窮|人窮志不窮,4
11440,窯,U+7AAF,yáo(73)|qiāo,traditional,窑,kiln,土窯|破瓦寒窯|磚窯,7-9
11441,窰,U+7AB0,yáo,neutral,,variant of 窯|窑[yao2],窰場,
11442,窱,U+7AB1,tiǎo,traditional,𰩏,,,
11443,窲,U+7AB2,cháo,neutral,,,,
11444,窳,U+7AB3,yǔ|yú,neutral,,bad,窳敗|窳败,
11445,窴,U+7AB4,tián,neutral,,fill in,,
11446,窵,U+7AB5,diào,traditional,窎,(literary) distant,,
